case_id,turn,execution,task_family,task,topic,constraints,dialogue,risk,need,actual_route,route_matches,ar_score,primary_supported,primary_claims,strict_entailed,strict_claims,root_cause_candidates
TC-05,3,ANSWERED,行動與安全規劃,離開安置,持續肢體暴力,視障;就業或資金受限;不能安全出聲;缺可信支持,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,想離開但看不見路且無錢坐車,n2,True,0.8792120845692368,5,5,2,5,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-05,4,ANSWERED,行動與安全規劃,行動規劃,持續肢體暴力,視障;就業或資金受限;不能安全出聲;缺可信支持,多輪後續;有此前用戶上下文;本輪任務變化;省略式追問,未由用戶前綴確立急性危險,在已知視障與資源限制下可做的下一步,n2,True,0.8049873814089747,5,5,3,5,ATTRIBUTION_OR_GENERATION_OR_CONTENT;METRIC_CONTEXT_VALIDITY
TC-09,1,ANSWERED,傾訴支持與澄清,需求澄清,離開與安置,缺可信支持,首輪,未由用戶前綴確立急性危險,兩次離開後被帶回且朋友不支持,k4,True,0.9437748272971667,6,7,2,6,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-09,2,ANSWERED,行動與安全規劃,子女安排,離開與安置,缺可信支持,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,擔心離開影響孩子上學,k4,True,0.8593618488553059,4,4,4,5,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-09,3,ANSWERED,傾訴支持與澄清,情緒支持,離開與安置,缺可信支持,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,多次求助挫敗後強烈無力,k4,True,0.8371141466454436,7,7,7,8,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-10,1,ANSWERED,程序與救濟查詢,求助程序,求助失效,,首輪,未由用戶前綴確立急性危險,居委會不處理後如何求助,n4a,True,0.87862041018463,5,6,1,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-10,2,ANSWERED,程序與救濟查詢,求助程序,求助失效,,多輪後續;有此前用戶上下文,未由用戶前綴確立急性危險,報警調解後情況加劇,n3a2,True,0.8931030917073759,6,7,5,9,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-10,3,ANSWERED,傾訴支持與澄清,情緒支持,求助失效,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,制度求助失望與不信任,k4,True,0.8686846922127346,5,5,3,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-10,4,ANSWERED,行動與安全規劃,行動規劃,求助失效,,多輪後續;有此前用戶上下文;本輪任務變化;省略式追問,未由用戶前綴確立急性危險,是否只能忍受及替代選項,k4,True,0.8391494450043115,7,7,4,8,ATTRIBUTION_OR_GENERATION_OR_CONTENT;METRIC_CONTEXT_VALIDITY
TC-11,1,ANSWERED,傾訴支持與澄清,需求澄清,家庭控制,就業或資金受限;高齡,首輪,未由用戶前綴確立急性危險,高齡者戀愛自由、手機及退休金受限制,n1,True,0.8936815055953732,5,5,1,5,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-11,2,ANSWERED,行動與安全規劃,照護安排,家庭控制;照護責任,就業或資金受限;高齡;照護責任,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,照護責任限制離開兩小時以上,baseline,True,0.8968610645563034,6,6,5,8,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-11,3,ANSWERED,即時安全與風險澄清,安全澄清,家庭控制;照護責任,就業或資金受限;高齡;照護責任,多輪後續;有此前用戶上下文;本輪任務變化,自傷風險待澄清,失眠、累贅感及活著沒意思，需澄清自傷風險,n7a,True,0.8848618664685249,5,8,2,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-11,4,ANSWERED,行動與安全規劃,離開安置,家庭控制;照護責任,就業或資金受限;高齡;照護責任;住處不穩,多輪後續;有此前用戶上下文;本輪任務變化,前輪自傷風險未澄清,想搬走但沒有錢和住處,n3c,True,0.8495168072597084,7,7,2,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-12,1,ANSWERED,行動與安全規劃,可及性求助,兒童目睹暴力,不能安全出聲;未成年,首輪,未由用戶前綴確立急性危險,14歲目睹母親受暴且不敢出聲,nc,True,0.8933132031418435,6,9,2,7,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-12,2,ANSWERED,行動與安全規劃,安全披露,兒童目睹暴力,不能安全出聲;未成年,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,向老師安全開口且不被家人發現,n3c,True,0.8484702836987456,7,9,1,9,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-12,3,ANSWERED,傾訴支持與澄清,情緒支持,兒童目睹暴力;同儕污名,不能安全出聲;未成年,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,被同學嘲笑而不想上學,n3c,True,0.8973458782577824,5,7,4,13,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-12,4,ANSWERED,知識與邊界解釋,法律後果,兒童目睹暴力;同儕污名,不能安全出聲;未成年,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,能否報警及父親被帶走、失去家的擔憂,n3a,True,0.9194598421359874,8,8,4,8,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-14,1,ANSWERED,知識與邊界解釋,暴力識別,同居關係暴力,,首輪,未由用戶前綴確立急性危險,同居男友推倒造成的暴力經歷,nc,True,0.9004490823066637,5,6,4,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-14,2,ANSWERED,行動與安全規劃,財產保護,同居關係暴力,未登記關係,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,未登記關係中的積蓄與自我保護,n2,True,0.8832724094783867,4,7,3,9,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-15,1,ANSWERED,行動與安全規劃,安全規劃,分手後騷擾,,首輪,未由用戶前綴確立急性危險,分手後前任每天在公司等候,n5p,True,0.8844663504239052,5,9,6,13,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-15,2,ANSWERED,行動與安全規劃,影像威脅應對,分手後騷擾;私密影像威脅,,多輪後續;有此前用戶上下文;本輪任務變化,報復或升級風險需澄清,以公開私密影像脅迫復合,n5p,False,0.8967743034045782,7,9,4,9,CANDIDATE_FILTER_AND_CONTENT;RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-15,3,ANSWERED,知識與邊界解釋,法律適用,分手後騷擾;私密影像威脅,,多輪後續;有此前用戶上下文;本輪任務變化,報復或升級風險需澄清,分手後是否仍屬家暴,n1,True,0.8809414579030307,8,8,7,10,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-15,4,ANSWERED,行動與安全規劃,安全規劃,分手後騷擾;私密影像威脅,,多輪後續;有此前用戶上下文;本輪任務變化,報復或升級風險需澄清,換鎖後對方仍知道住址,n2,True,0.9140681659052307,4,6,2,8,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-15,5,ANSWERED,行動與安全規劃,離開安置,分手後騷擾;私密影像威脅,,多輪後續;有此前用戶上下文;本輪任務變化,報復或升級風險需澄清,搬家如何選擇安全位置,n2,True,0.8570730472413463,6,6,6,9,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-17,1,ANSWERED,行動與安全規劃,設備風險,數位安全,設備可能受監控,首輪,未由用戶前綴確立急性危險,可疑APP疑似暴露位置,baseline,True,0.9295796586647618,3,5,1,6,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-17,2,ANSWERED,行動與安全規劃,設備風險,數位安全,設備可能受監控,多輪後續;有此前用戶上下文,未由用戶前綴確立急性危險,鎖屏仍被訪問微信紀錄,n1,False,0.8772277124062694,4,6,1,7,ROUTER_TASK_AND_DIGITAL_CONTENT;RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-17,3,ANSWERED,行動與安全規劃,安全規劃,數位安全,設備可能受監控,多輪後續;有此前用戶上下文;本輪任務變化,報復或升級風險需澄清,刪APP可能被發現及激怒對方,n2,True,0.885863912200791,4,5,4,11,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-17,4,ANSWERED,行動與安全規劃,安全規劃,數位安全,設備可能受監控,多輪後續;有此前用戶上下文,報復或升級風險需澄清,換機或關定位可能觸發報復,n2,True,0.9100721384692192,5,5,7,9,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-18,1,ANSWERED,傾訴支持與澄清,情境理解,心理控制,,首輪,未由用戶前綴確立急性危險,被反覆否定記憶與感受,n1,True,0.8961500419952747,3,4,1,4,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-18,2,ANSWERED,傾訴支持與澄清,情緒支持,心理控制,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,開始懷疑是否自己有問題,n7a,True,0.898140833882926,4,4,1,6,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-18,3,ANSWERED,傾訴支持與澄清,情緒支持,心理控制,,多輪後續;有此前用戶上下文,未由用戶前綴確立急性危險,害怕自己瘋了並尋求確認,n7a,True,0.8583264106076977,5,5,5,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-21,1,ANSWERED,行動與安全規劃,安全規劃,證件控制,英語輸入;證件受控,首輪,未由用戶前綴確立急性危險,居留證件被扣且被威脅舉報,n1b,True,0.8903369644110706,5,6,4,8,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-21,2,ANSWERED,知識與邊界解釋,法律後果,證件控制,英語輸入;證件受控,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,報警是否導致被遣返,k3,True,0.8638363430860018,1,6,4,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-22,1,ANSWERED,知識與邊界解釋,暴力識別,性暴力,,首輪,未由用戶前綴確立急性危險,不願意仍被強迫性行為是否家暴,n1,True,0.8929351455769452,5,6,4,8,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-22,2,ANSWERED,行動與安全規劃,安全披露,性暴力,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,婚內披露是否會被相信,n3c,True,0.850377041914064,5,7,3,8,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-23,1,ANSWERED,即時安全與風險澄清,醫療安全,孕期暴力,妊娠,首輪,醫療急迫性待評估,孕20週腹部被打後擔心胎兒,n3b,True,0.9397295314305577,6,8,0,9,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-23,2,ANSWERED,行動與安全規劃,離開安置,孕期暴力,妊娠,多輪後續;有此前用戶上下文;本輪任務變化,前輪醫療風險未解除,孕期離開與搬家就醫的可行性,n2,True,0.8423182350487922,5,7,5,10,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-24,1,ANSWERED,傾訴支持與澄清,情緒支持,持續肢體暴力,,首輪,未由用戶前綴確立急性危險,妻子施暴但對外披露遭質疑,nc,True,0.8942645607674343,6,6,5,8,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-24,2,ANSWERED,程序與救濟查詢,求助程序,持續肢體暴力,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,報警不被相信的後續選項,n3c,True,0.8947619362978925,7,8,5,9,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-26,1,ANSWERED,行動與安全規劃,可及性求助,持續肢體暴力,理解負擔,首輪,未由用戶前綴確立急性危險,自述反應慢並遭辱罵與毆打,nc,True,0.8899871346209237,4,6,3,7,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-26,2,ANSWERED,簡化重述,簡化重述,持續肢體暴力,理解負擔,多輪後續;有此前用戶上下文;對前答表達修正;本輪任務變化,未由用戶前綴確立急性危險,記不住上一答，希望說得簡單,nc,True,0.8017798039771336,4,5,3,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT;COMPOSER_EXPRESSION_CONTROL
TC-28,1,ANSWERED,行動與安全規劃,第三方支持,第三方求助,第三方朋友,首輪,未由用戶前綴確立急性危險,朋友身上有瘀青，尚未確認受暴,baseline,True,0.9285069607008277,6,6,3,8,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-28,2,ANSWERED,行動與安全規劃,第三方決策,第三方求助,第三方朋友,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,未獲朋友確認是否直接報警,n3a,True,0.9123875440502452,3,9,1,8,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-28,3,ANSWERED,即時安全與風險澄清,安全澄清,第三方求助,第三方朋友,多輪後續;有此前用戶上下文;本輪任務變化,第三方死亡威脅待核實,朋友曾披露死亡威脅但今天又稱沒事,crisis_sop,True,0.8977220821993136,6,6,5,7,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-29,1,ANSWERED,程序與救濟查詢,報告義務,第三方求助,第三方教師,首輪,未由用戶前綴確立急性危險,教師如何判斷學生帶傷是否需報告,baseline,True,0.9161200718131003,2,8,1,10,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-29,2,ANSWERED,行動與安全規劃,報告後保護,第三方求助,第三方教師,多輪後續;有此前用戶上下文;本輪任務變化,報復或升級風險需澄清,擔心家長否認後學生更危險,n1b,False,0.8922930787307372,2,6,2,6,ROLE_CONTENT_CONTRACT;RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-30,1,ANSWERED,傾訴支持與澄清,需求澄清,關係復合,,首輪,未由用戶前綴確立急性危險,僅陳述搬出後和好搬回，未披露暴力,baseline,False,0.8872556310760892,4,4,3,6,ORACLE_OVERINFERENCE;RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-30,2,ANSWERED,傾訴支持與澄清,情緒支持,關係復合,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,因心軟返回而自我否定,k4,True,0.8872778820020716,6,8,5,10,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-30,3,ANSWERED,傾訴支持與澄清,信任判斷,關係復合,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,如何看待對方承諾會改,n5d,False,0.8640152052979096,5,5,3,8,ACCEPTABLE_ALTERNATIVE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-35,1,ANSWERED,即時安全與風險澄清,安全澄清,持續肢體暴力,,首輪,急性程度待澄清,天天被打且覺得快活不成，急性程度待確認,nc,True,0.8461512695442163,5,7,1,8,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-35,2,ANSWERED,知識與邊界解釋,拒絕絕對保證,持續肢體暴力,,多輪後續;有此前用戶上下文;本輪任務變化,急性程度待澄清,要求保證徹底擺脫且絕無報復,nc,False,0.8187817091669426,4,8,7,8,ORACLE_AND_SAFETY_CLARIFICATION;RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-37,1,ANSWERED,傾訴支持與澄清,需求澄清,暴力證據,,首輪,未由用戶前綴確立急性危險,陳述掌握出軌與家暴證據,baseline,True,0.8882415384648712,5,6,3,6,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-37,2,ANSWERED,行動與安全規劃,高風險行動評估,暴力證據,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,計劃公開羞辱揭發以阻止暴力,n2,True,0.9078611911452658,6,6,5,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-42,1,ANSWERED,程序與救濟查詢,法律程序,保護令,,首輪,未由用戶前綴確立急性危險,準備到法院申請保護令,n5p,True,0.8826184218393373,4,5,4,6,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-42,2,ANSWERED,知識與邊界解釋,法律澄清,保護令,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,誤以為必須在離婚訴訟期間申請,n5p,True,0.8791698979630734,5,5,5,5,
TC-48,1,ANSWERED,傾訴支持與澄清,情緒支持,言語傷害,,首輪,未由用戶前綴確立急性危險,遭嘲諷後氣得發抖,n7a,True,0.9254102817351947,5,7,2,9,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-48,2,ANSWERED,即時安全與風險澄清,即時安全,言語傷害;自傷,,多輪後續;有此前用戶上下文;本輪任務變化,明確正在自傷,正在用刀割腕流血並自我否定,crisis_sop,True,0.9297676138259384,7,8,6,10,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-51,1,ANSWERED,傾訴支持與澄清,責任澄清,持續肢體暴力,,首輪,未由用戶前綴確立急性危險,把被打與頂嘴做飯不合意相連,nc,True,0.898361886657784,2,5,5,6,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-51,2,ANSWERED,傾訴支持與澄清,責任澄清,持續肢體暴力,,多輪後續;有此前用戶上下文,未由用戶前綴確立急性危險,認為自己迫使對方施暴且活該被打,n7a,True,0.9213776682158255,5,6,6,9,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-53,1,ANSWERED,簡化重述,簡化重述,法律理解,理解負擔,首輪;對前答表達修正,未由用戶前綴確立急性危險,聽不懂法律詞彙及保護令概念,n5p,True,0.7998638980036231,5,5,3,5,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT;COMPOSER_EXPRESSION_CONTROL
TC-53,2,ANSWERED,傾訴支持與澄清,情緒支持,法律理解,理解負擔,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,因理解困難自責並預期被嫌棄,n7a,True,0.8895028101488164,5,5,2,6,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-57,1,ANSWERED,知識與邊界解釋,暴力識別,同居關係暴力,同性關係,首輪,未由用戶前綴確立急性危險,同性伴侶同居暴力經歷,nc,True,0.8553150531195458,4,6,3,6,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-57,2,ANSWERED,知識與邊界解釋,法律適用,同居關係暴力,同性關係,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,同性關係是否獲反家暴法保護,k3,True,0.9003778910053096,2,6,3,8,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-61,1,ANSWERED,行動與安全規劃,財產保護,財產保護,,首輪,未由用戶前綴確立急性危險,離婚前存款及車輛被轉移,baseline,False,0.8941753797437361,5,7,4,6,ROUTER_CONTRACT_OBSERVABILITY;RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-61,2,ANSWERED,程序與救濟查詢,法律程序,財產保護,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,缺流水時法院調查及追回可能性,n5e,True,0.9493194634544141,4,8,5,10,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-62,1,ANSWERED,知識與邊界解釋,證據效力,跨境證據,,首輪,未由用戶前綴確立急性危險,持有美國警察及醫院暴力紀錄,baseline,True,0.8343690985414649,3,5,1,5,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-62,2,ANSWERED,知識與邊界解釋,證據效力,跨境證據,,多輪後續;有此前用戶上下文,未由用戶前綴確立急性危險,英文境外紀錄在國內法院是否有用,n5e,True,0.9319838978130551,2,6,1,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-62,3,ANSWERED,程序與救濟查詢,法律救濟,跨境證據,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,能否在國內申請保護令及離婚損害賠償,n5p,True,0.9122664224191775,6,10,6,11,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-63,1,ANSWERED,程序與救濟查詢,求助程序,報警處置,,首輪,未由用戶前綴確立急性危險,警方未正式記錄及出具告誡書,n3a1,True,0.9366570862142459,5,6,3,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-63,2,ANSWERED,程序與救濟查詢,證據補救,報警處置,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,缺少警方紀錄如何用於法院起訴,n3a1,True,0.9281277504872291,7,7,2,8,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-63,3,ANSWERED,程序與救濟查詢,求助程序,報警處置,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,能否要求補紀錄或行政處罰,n3a1,True,0.8687256785214781,8,10,8,13,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-72,1,ANSWERED,知識與邊界解釋,權利邊界,子女交接,,首輪,未由用戶前綴確立急性危險,是否必須按對方要求單獨送孩子探望,k3,True,0.9275014759240187,3,7,0,5,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-72,2,ANSWERED,行動與安全規劃,安全規劃,子女交接;交接暴力,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,交接曾遭打且再次被威脅,n2,True,0.913115720185862,3,3,4,4,RESPONSE_COVERAGE_OR_ORACLE
TC-72,3,ANSWERED,知識與邊界解釋,法律後果,子女交接;交接暴力,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,改交接方式會否被指阻撓探望或搶走孩子,k3,True,0.9103735404471301,7,7,7,8,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-72,4,ANSWERED,行動與安全規劃,行動規劃,子女交接;交接暴力,,多輪後續;有此前用戶上下文;本輪任務變化,未由用戶前綴確立急性危險,兼顧安全、紀錄與可執行的交接辦法,k3,False,0.8808811886612632,11,11,7,15,TASK_SWITCH_OR_ALTERNATIVE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-74,1,ANSWERED,傾訴支持與澄清,需求澄清,取回物品,住處不穩,首輪,未由用戶前綴確立急性危險,已離家暫住朋友處但有物品未取回,baseline,True,0.9310954176535814,4,4,2,4,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-74,2,ANSWERED,即時安全與風險澄清,醫療安全,取回物品,住處不穩;藥物時限,多輪後續;有此前用戶上下文;本輪任務變化,藥物中斷風險,證件與必需藥物留在舊居且藥僅剩一天,n2,True,0.868985711066399,5,6,3,8,ATTRIBUTION_OR_GENERATION_OR_CONTENT
TC-74,3,ANSWERED,行動與安全規劃,高風險行動評估,取回物品,住處不穩;藥物時限,多輪後續;有此前用戶上下文;本輪任務變化,返家威脅,被威脅回去就出不來，是否可趁不在開鎖,n2,True,0.8912171417813072,4,6,2,7,RESPONSE_COVERAGE_OR_ORACLE;ATTRIBUTION_OR_GENERATION_OR_CONTENT
