case,turn,execution,branch,primary_supported,primary_claims,primary_rate,independent_entailed,independent_claims,independent_proxy
TC-51,2,ANSWERED,capsule,5,6,0.8333333333333334,6,9,0.6666666666666666
TC-53,1,ANSWERED,capsule,5,5,1.0,3,5,0.6
TC-53,2,ANSWERED,capsule,5,5,1.0,2,6,0.3333333333333333
TC-57,1,ANSWERED,capsule,4,6,0.6666666666666666,3,6,0.5
TC-57,2,ANSWERED,capsule,2,6,0.3333333333333333,3,8,0.375
TC-61,1,ANSWERED,baseline,5,7,0.7142857142857143,4,6,0.6666666666666666
TC-61,2,ANSWERED,capsule,4,8,0.5,5,10,0.5
TC-61,3,PROVIDER_ERROR,capsule,,,,,,
TC-62,1,ANSWERED,baseline,3,5,0.6,1,5,0.2
TC-62,2,ANSWERED,capsule,2,6,0.3333333333333333,1,7,0.14285714285714285
TC-62,3,ANSWERED,capsule,6,10,0.6,6,11,0.5454545454545454
TC-63,1,ANSWERED,capsule,5,6,0.8333333333333334,3,7,0.42857142857142855
TC-63,2,ANSWERED,capsule,7,7,1.0,2,8,0.25
TC-63,3,ANSWERED,capsule,8,10,0.8,8,13,0.6153846153846154
TC-66,1,OUTPUT_GUARD_REJECTED,capsule,,,,,,
TC-66,2,DEPENDENCY_NOT_RUN,capsule,,,,,,
TC-66,3,DEPENDENCY_NOT_RUN,capsule,,,,,,
TC-66,4,DEPENDENCY_NOT_RUN,capsule,,,,,,
TC-72,1,ANSWERED,capsule,3,7,0.42857142857142855,0,5,0.0
TC-72,2,ANSWERED,capsule,3,3,1.0,4,4,1.0
TC-72,3,ANSWERED,capsule,7,7,1.0,7,8,0.875
TC-72,4,ANSWERED,capsule,11,11,1.0,7,15,0.4666666666666667
TC-74,1,ANSWERED,baseline,4,4,1.0,2,4,0.5
TC-74,2,ANSWERED,capsule,5,6,0.8333333333333334,3,8,0.375
TC-74,3,ANSWERED,capsule,4,6,0.6666666666666666,2,7,0.2857142857142857
TC-74,4,ANSWERED,capsule,5,8,0.625,4,11,0.36363636363636365
